id,customerID,mod_time,client_name,client_eic,gas_node,gas_operator,serNUM,mfDEV,typeDEV,chNUM,address,scenario,consumer_client_id
1,6,"2019-01-16 15:30:11","Потребитель 1т",56XSO00000000001,000000000011,GAS_1,195,1,12,0,0,hourly,1
2,6,"2019-01-16 15:31:11","Потребитель 1т",56XSO00000000001,000000000012,GAS_1,2906,1,2,0,0,hourly,1
3,6,"2019-01-16 15:32:11","Потребитель 2т",56XSO00000000002,000000000021,GAS_2,4588,1,5,0,0,hourly,2
4,6,"2019-01-16 15:33:11","Потребитель 3т",56XSO00000000003,000000000031,GAS_3,5256,1,5,0,0,hourly,3
5,4,"2019-02-22 10:52:46","ПрАТ "АвтоКрАЗ"",56XO00005MGKF00C,0411,KREMENCHUKGAS,8148,1,5,0,0,hourly,4
6,4,"2019-02-22 10:53:46","ПрАТ "Кременчукм'ясо"",56XO0000U1W0Q00U,0421,KREMENCHUKGAS,8431,1,5,0,0,hourly,5
7,4,"2019-02-22 10:54:46","АТ "Галичфарм"",56XO00005M88500C,0431,LVIVGAS,4984,1,8,0,0,hourly,6
8,5,"2019-02-26 12:00:13","ФОП "Карабак Людмила Хухутовна"",56XO00063011600G,0511,DNIPROGAS,52257,1,24,0,0,hourly,7
9,18,"2019-02-28 13:31:11","Потребитель 1_1",56XSO000000001801,01811,DNIPROGAS,6178,1,5,0,0,hourly,8
10,18,"2019-02-28 13:32:11","Потребитель 1_2",56XSO000000001802,01821,GAS_2,2274,1,2,0,0,hourly,9
11,6,"2019-02-28 13:33:11","Потребитель 1_3",56XSO000000001803,01831,GAS_3,8375,1,5,0,0,hourly,10
12,6,"2019-02-28 13:34:11","Потребитель 1_3",56XSO000000001803,01832,DNIPROGAS,6995,1,5,0,0,hourly,10
13,5,"2019-03-01 15:17:55","ПРАО Термолайф",56XSO00000000051,0521,KHARKIVMISKGAS,7668,1,5,0,0,hourly,12
14,4,"2019-03-01 15:18:55","ПрАТ "АвтоКрАЗ"",56XO00005MGKF00C,0412,KREMENCHUKGAS,5984,1,5,0,0,hourly,4
15,6,"2019-03-01 17:39:55","ДП "Закупянский кар'єр"",56XSO00000000071,0711,KHMELNYTSCGAS,7821,1,5,0,0,hourly,13
16,7,"2019-03-06 18:11:33","ПАТ "Мена Пак"",56XSO00000000072,0721,CHERNIGIVGAS,5407,1,5,0,0,hourly,14
17,7,"2019-03-06 18:12:33","ПАТ "Мена Пак"",56XSO00000000072,0722,CHERNIGIVGAS,2742,1,2,0,0,hourly,14
18,7,"2019-03-06 18:13:33","ТОВ "Органік мілк"",56XSO00000000073,0731,ZHYTOMYRGAS,1490,1,11,0,0,hourly,15
19,7,"2019-03-06 18:14:33","ТОВ "Марія"",56XSO00000000074,0741,LVIVGAS,7673,1,5,0,0,hourly,16
20,7,"2019-03-06 18:15:33","ТОВ "Ростра"",56XSO00000000075,0751,CHERNIGIVGAS,1500,1,11,0,0,hourly,17
21,7,"2019-03-06 18:16:33","ТОВ "ВіДі Автострада"",56XSO00000000076,0761,KYIVGAS,2087,1,2,0,0,hourly,18
22,7,"2019-03-06 18:17:33","ТОВ "ВіДі Автосіті Кільцева"",56XSO00000000077,0771,KYIVGAS,3414,1,2,0,0,hourly,19
23,4,"2019-03-12 16:24:11","ПАТ "Бердічевський машинобудівний завод "Прогрес"",56XO0000061BU00H,0441,ZHYTOMYRGAS,10139,3,2,0,0,hourly,20
24,4,"2019-03-12 16:25:11","ПАТ "Бердічевський машинобудівний завод "Прогрес"",56XO0000061BU00H,0442,ZHYTOMYRGAS,10191,3,2,0,0,hourly,20
25,4,"2019-03-12 16:26:11","АТ "Галичфарм"",56XO00005M88500C,0432,LVIVGAS,11148,3,2,0,0,hourly,6
26,4,"2019-03-12 16:27:11","АТ "Галичфарм"",56XO00005M88500C,0433,LVIVGAS,11148,3,2,1,0,hourly,6
27,7,"2019-03-15 12:38:11","ТОВ "Скриня плюс"",56XSO00000000078,0781,LVIVGAS,5548,3,2,0,0,hourly,21
28,8,"2019-03-19 14:13:29","КП "Теплоенергетик"(Могилів-Подільск)",56XSO00000000081,0811,VINNITCAGAS,998,1,11,0,0,hourly,22
29,8,"2019-03-19 14:14:29","МКП "Енергоресурс"",56XSO00000000082,0821,VINNITCAGAS,753,1,11,0,0,hourly,23
