id,customerID,client_name,client_eic,gas_node,gas_operator,serNUM,mfDEV,typeDEV,chNUM,address,scenario,note
1,6,"Потребитель 1т",56XSO00000000001,000000000011,GAS_1,195,1,12,0,0,hourly,0
2,6,"Потребитель 1т",56XSO00000000001,000000000012,GAS_1,2906,1,2,0,0,hourly,0
3,6,"Потребитель 2т",56XSO00000000002,000000000021,GAS_2,4588,1,5,0,0,hourly,0
4,6,"Потребитель 3т",56XSO00000000003,000000000031,GAS_3,5256,1,5,0,0,hourly,0
5,4,"ПрАТ "АвтоКрАЗ"",56XO00005MGKF00C,0411,KREMENCHUKGAS,8148,1,5,0,"Харків, вул. Сагайдачного 14",hourly,0
6,4,"ПрАТ "Кременчукм'ясо"",56XO0000U1W0Q00U,0421,KREMENCHUKGAS,8431,1,5,0,"Харків, вул. Сагайдачного 14",hourly,0
7,4,"АТ "Галичфарм"",56XO00005M88500C,0431,LVIVGAS,4984,1,8,0,"Харків, вул. Сагайдачного 14",hourly,0
8,5,"ФОП "Карабак Людмила Хухутовна"",56XO00063011600G,0511,DNIPROGAS,52257,1,24,0,0,hourly,0
9,18,"Потребитель 1",56XSO00000000004,000000000041,GAS_1,8148,1,5,0,"ул.Хухулица 171",hourly,0
10,18,"Потребитель 2",56XSO00000000005,000000000051,GAS_2,8431,1,5,0,"ул.Хухулица 171",hourly,0
11,18,"Потребитель 3",56XSO00000000006,000000000061,GAS_3,4984,1,8,0,"ул.Хухулица 171",hourly,0
12,18,"Потребитель 4 ",56XSO00000000007,000000000071,GAS_1,10139,3,2,0,"ул.Хухулица 171",hourly,0
13,5,"ПРАО Термолайф",56XSO00000000051,0521,KHARKIVMISKGAS,7668,1,5,0,0,hourly,0
14,4,"ПрАТ "АвтоКрАЗ"",56XO00005MGKF00C,0412,KREMENCHUKGAS,5984,1,5,0,"Харків, вул. Сагайдачного 14",hourly,0
15,6,"ДП "Закупянский кар'єр"",56XSO00000000071,0711,KHMELNYTSCGAS,7821,1,5,0,0,hourly,0
16,7,"ПАТ "Мена Пак"",56XSO00000000072,0721,CHERNIGIVGAS,5407,1,5,0,0,hourly,0
17,7,"ПАТ "Мена Пак"",56XSO00000000072,0722,CHERNIGIVGAS,2742,1,2,0,0,hourly,0
18,7,"ТОВ "Органік мілк"",56XSO00000000073,0731,ZHYTOMYRGAS,1490,1,11,0,0,hourly,0
19,7,"ТОВ "Марія"",56XSO00000000074,0741,LVIVGAS,7673,1,5,0,0,hourly,0
