"Name","Tracker ID","Start Time","End Time","Fence Name"
"Fleet AC_YTR","S10150000211018049","06:40 PM","06:47 PM","9 mph with beeping "
"Fleet AC_YTR","S10150000211018049","06:29 PM","06:30 PM","shutdown after restore 20 sec"
"Fleet AC_YTR","S10150000211018049","06:38 PM","06:39 PM","shutdown after restore 20 sec"
"Fleet AC_YTR","S10150000211018049","06:25 PM","06:26 PM","Immediate shutdown"
"Fleet AC_YTR","S10150000211018049","06:34 PM","06:34 PM","Immediate shutdown"
"Fleet AC_YTR","S10150000211018049","06:26 PM","06:27 PM","5 mph beeping with shutdown  after time set"
"Fleet AC_YTR","S10150000211018049","06:35 PM","06:35 PM","5 mph beeping with shutdown  after time set"
"Fleet AC_YTR","S10150000211018049","06:27 PM","06:28 PM","Revers only"
"Fleet AC_YTR","S10150000211018049","06:36 PM","06:37 PM","Revers only"
"Fleet AC_YTR","S10150000211018049","05:19 PM","05:20 PM","3mph with beeping"
"Fleet AC_YTR","S10150000211018049","05:22 PM","05:23 PM","3mph with beeping"
"Fleet AC_YTR","S10150000211018049","06:23 PM","06:24 PM","3mph with beeping"
"Fleet AC_YTR","S10150000211018049","06:32 PM","06:33 PM","3mph with beeping"
"Fleet AC_YTR","S10150000211018049","05:17 PM","05:17 PM","Message Only change"
"Fleet AC_YTR","S10150000211018049","05:20 PM","05:20 PM","Message Only change"
"Fleet AC_YTR","S10150000211018049","06:21 PM","06:22 PM","Message Only change"
"Fleet AC_YTR","S10150000211018049","06:30 PM","06:31 PM","Message Only change"
"Fleet AC_YTR","S10150000211018049","05:02 PM","05:17 PM","4mph with beeping"
"Fleet AC_YTR","S10150000211018049","06:15 PM","06:20 PM","4mph with beeping"
"Fleet AC_YTR","S10150000211018049","06:28 PM","06:29 PM","Beeping only"
"Fleet AC_YTR","S10150000211018049","06:37 PM","06:38 PM","Beeping only"
"Fleet AC_YTR","S10150000211018049","05:18 PM","05:19 PM","10 mph no beeping"
"Fleet AC_YTR","S10150000211018049","05:21 PM","05:22 PM","10 mph no beeping"
"Fleet AC_YTR","S10150000211018049","06:22 PM","06:23 PM","10 mph no beeping"
"Fleet AC_YTR","S10150000211018049","06:31 PM","06:32 PM","10 mph no beeping"
